"Date","Amount","Description","Category","User"
"2016-10-11",30.18,"Description349","Category6","User2"
"2016-10-11",7.55,"Description248","Category6","User2"
"2016-10-07",746.97,"Description12","Category3","User2"
"2016-10-05",30.95,"Description438","Category6","User2"
"2016-10-04",1425,"Description55","Category1","User2"
"2016-10-04",2.49,"Description224","Category5","User2"
"2016-10-04",2,"Description244","Category5","User2"
"2016-10-04",82.98,"Description235","Category5","User2"
"2016-09-26",785.47,"Description27","Category1","User2"
"2016-09-23",746.97,"Description12","Category3","User2"
"2016-09-19",38.46,"Description193","Category1","User2"
"2016-09-12",200,"Description289","Category3","User2"
"2016-09-09",746.97,"Description12","Category3","User2"
"2016-09-07",106.47,"Description28","Category1","User2"
"2016-09-07",427.5,"Description58","Category1","User2"
"2016-09-06",9.87,"Description410","Category2","User2"
"2016-08-26",746.97,"Description12","Category3","User2"
"2016-08-25",10.39,"Description131","Category2","User2"
"2016-08-25",1073.94,"Description289","Category3","User2"
"2016-08-24",40,"Description155","Category6","User2"
"2016-08-24",8.5,"Description380","Category5","User2"
"2016-08-23",104.17,"Description361","Category3","User2"
"2016-08-22",8.99,"Description314","Category2","User2"
"2016-08-19",158.95,"Description26","Category1","User2"
"2016-08-19",34.15,"Description314","Category2","User2"
"2016-08-17",40.41,"Description193","Category1","User2"
"2016-08-12",760.38,"Description448","Category6","User2"
"2016-08-12",1033.22,"Description12","Category3","User2"
"2016-08-11",7,"Description176","Category6","User2"
"2016-08-08",21.81,"Description83","Category4","User2"
"2016-08-08",20.85,"Description431","Category2","User2"
"2016-08-08",35.17,"Description315","Category2","User2"
"2016-08-08",10.34,"Description131","Category2","User2"
"2016-08-08",48.66,"Description298","Category2","User2"
"2016-08-04",1425,"Description56","Category1","User2"
"2016-08-04",5.92,"Description288","Category5","User2"
"2016-08-03",700.88,"Description11","Category3","User2"
"2016-08-01",44.25,"Description314","Category2","User2"
"2016-07-29",1033.22,"Description12","Category3","User2"
"2016-07-28",42,"Description478","Category4","User2"
"2016-07-27",100,"Description91","Category5","User2"
"2016-07-27",60,"Description289","Category3","User2"
"2016-07-25",160,"Description268","Category4","User2"
"2016-07-22",7,"Description306","Category1","User2"
"2016-07-18",75.4,"Description20","Category1","User2"
"2016-07-18",33.81,"Description193","Category1","User2"
"2016-07-15",1033.22,"Description12","Category3","User2"
"2016-07-12",600,"Description289","Category3","User2"
"2016-07-05",7,"Description306","Category1","User2"
"2016-07-05",3.5,"Description306","Category1","User2"
"2016-07-05",27.23,"Description208","Category2","User2"
"2016-07-01",1033.22,"Description12","Category3","User2"
"2016-06-28",6.03,"Description365","Category4","User2"
"2016-06-28",12.7,"Description256","Category5","User2"
"2016-06-27",4.19,"Description147","Category4","User2"
"2016-06-24",10.89,"Description208","Category2","User2"
"2016-06-23",5.1,"Description130","Category6","User2"
"2016-06-21",27.29,"Description185","Category2","User2"
"2016-06-17",12.2,"Description193","Category1","User2"
